SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.06.32,8-Jan,1,M,Y,Red,0.001603,0.004475,0.005145,1114.670800,4.261605,7.420385,5.364721,35.528329,2.869691,4.510151,3.462768,4.991496,5.321947,11.671553
19B157.06.11,8-Jan,2,M,Y,Red,0.001593,0.004468,0.005361,1197.358540,3.525903,7.444401,6.056865,31.104887,2.813372,4.041163,3.134539,4.572017,5.041519,11.331543
19B157.06.12,8-Jan,2,M,Y,Red,0.001550,0.004507,0.005346,333.273811,3.665757,8.081646,5.199732,23.882600,3.254843,4.937555,4.465208,5.442203,5.760071,8.818692
19B157.06.21,8-Jan,2,M,Y,Red,0.001624,0.004354,0.004013,193.818881,3.973610,8.858901,4.766041,16.554575,3.330978,5.137838,4.204605,4.355943,4.666893,5.827984
19B157.06.22,8-Jan,2,M,Y,Red,0.001850,0.004619,0.004403,199.704510,2.594753,10.669688,5.061857,18.623574,1.774498,2.346285,3.895183,3.591695,3.859499,5.761975
19B157.06.31,8-Jan,2,M,Y,Red,0.001882,0.005393,0.006138,677.250614,2.647483,10.912651,6.136975,30.547813,2.666449,3.401256,2.546636,5.221496,5.186757,10.220811
19B157.06.32,8-Jan,2,M,Y,Red,0.001627,0.004431,0.004883,800.040605,4.047693,7.346468,5.284341,32.253191,2.734839,4.105104,3.301348,4.893337,5.271297,11.107584
19B157.01.11,8-Jan,3,M,Y,Red,0.001439,0.004013,0.004668,593.366460,3.307275,7.178120,4.943932,27.585427,2.770808,3.811667,4.284683,3.961486,4.290963,7.221406
19B157.01.12,8-Jan,3,M,Y,Red,0.001379,0.003999,0.005199,504.063968,3.027859,7.933450,6.376440,26.800196,3.161588,4.126921,4.745090,5.388212,5.426804,8.206253
19B157.01.21,8-Jan,3,M,Y,Red,0.001400,0.003968,0.004545,373.468598,3.564020,6.885223,6.225111,24.602625,3.334363,4.535228,5.706214,4.744360,4.661583,7.158106
19B157.01.22,8-Jan,3,M,Y,Red,0.001251,0.003404,0.003993,214.686088,2.684177,6.864215,6.058435,17.154582,3.217574,4.376337,5.815964,4.414009,4.358923,5.497155
19B157.01.31,8-Jan,3,M,Y,Red,0.001519,0.004520,0.005903,732.172585,2.908724,9.514177,5.941461,30.033037,2.223630,3.048886,2.777426,4.529411,4.477223,9.296429
19B157.01.32,8-Jan,3,M,Y,Red,0.001333,0.003916,0.005307,579.275867,3.301023,8.529782,5.546771,30.832190,2.434214,2.942069,3.847325,4.338254,4.509925,8.344635
19B157.06.11,8-Jan,3,M,Y,Red,0.001592,0.004479,0.005454,1279.170114,3.532695,7.965754,6.090827,31.604225,2.808181,3.924462,3.093893,4.501479,4.977063,10.919265
19B157.06.12,8-Jan,3,M,Y,Red,0.001446,0.004308,0.005534,358.608756,3.655266,7.528467,5.239212,25.591979,3.299815,5.026568,4.507877,5.269012,5.668309,8.859013
19B157.06.21,8-Jan,3,M,Y,Red,0.001602,0.004329,0.004107,205.578215,3.982205,8.494641,4.829593,18.087554,3.353839,5.172609,4.258704,4.364783,4.624059,5.923319
19B157.06.22,8-Jan,3,M,Y,Red,0.001895,0.004689,0.004407,215.568396,2.529356,10.416051,5.114432,18.650743,1.773397,2.373175,3.807145,3.546535,3.826405,5.804871
19B157.06.31,8-Jan,3,M,Y,Red,0.001864,0.005390,0.006426,647.133177,2.548219,10.801108,6.351272,29.556473,2.732814,3.251715,2.534176,4.971609,4.998678,9.752877
19B157.06.32,8-Jan,3,M,Y,Red,0.001696,0.004600,0.005025,915.804810,4.069561,8.239583,5.257207,31.000959,2.714188,4.032043,3.288365,4.907971,5.260289,10.998828
19B157.01.11,8-Jan,1,P,Y,Red,0.001391,0.003910,0.004751,585.814765,3.275857,7.468544,4.958347,27.396379,2.783859,3.710697,4.316212,3.889070,4.221917,6.916479
19B157.01.12,8-Jan,1,P,Y,Red,0.001325,0.003874,0.005296,495.723169,3.108692,7.666321,6.619646,25.652004,3.301009,4.212992,4.740261,5.318821,5.397473,8.225799
19B157.01.21,8-Jan,1,P,Y,Red,0.001352,0.003861,0.004604,393.281004,3.752862,6.944002,6.201497,27.993107,3.397600,4.758442,5.560550,4.829402,4.735063,7.548388
19B157.01.22,8-Jan,1,P,Y,Red,0.001245,0.003417,0.004118,231.358502,2.836507,6.851168,6.206025,20.214711,3.378155,4.491184,5.944065,4.464346,4.445663,5.623266
19B157.01.31,8-Jan,1,P,Y,Red,0.001539,0.004580,0.005948,813.345561,2.923737,10.420287,5.994715,31.350280,2.277847,3.054017,2.793798,4.545568,4.496027,9.256179
19B157.01.32,8-Jan,1,P,Y,Red,0.001365,0.003986,0.005260,693.972152,3.310933,9.081928,5.648770,28.440777,2.453755,2.951603,3.826628,4.378009,4.548568,8.489451
19B157.01.11,8-Jan,2,P,Y,Red,0.001489,0.004176,0.004760,542.774142,3.426424,9.892322,5.020464,27.364684,2.954763,3.905426,4.536519,4.130007,4.352464,7.382307
19B157.01.12,8-Jan,2,P,Y,Red,0.001390,0.004059,0.005350,460.754871,3.190503,8.347852,6.530237,23.723813,3.324184,4.176871,4.741895,5.462061,5.490937,8.173625
19B157.01.21,8-Jan,2,P,Y,Red,0.001369,0.003936,0.004780,363.728124,3.858072,6.986874,6.299438,27.523309,3.576183,4.822108,5.877014,4.852450,4.750263,7.308283
19B157.01.22,8-Jan,2,P,Y,Red,0.001334,0.003605,0.004012,227.155057,2.851616,8.946423,6.100367,18.609363,3.313415,4.447512,5.762471,4.643374,4.561921,5.707678
19B157.01.31,8-Jan,2,P,Y,Red,0.001528,0.004568,0.005982,731.457980,2.875357,9.454346,6.065313,30.349430,2.259421,2.998595,2.744072,4.455602,4.414537,9.027514
19B157.01.32,8-Jan,2,P,Y,Red,0.001434,0.004143,0.005139,686.529087,3.280846,9.285662,5.496146,30.890043,2.412171,2.935441,3.755750,4.458611,4.604052,8.701576
19B157.01.11,8-Jan,3,P,Y,Red,0.001556,0.004287,0.004613,578.336801,3.299151,8.765423,4.979396,26.905505,2.794562,3.745456,4.217329,4.090676,4.387603,7.144488
19B157.01.12,8-Jan,3,P,Y,Red,0.001456,0.004160,0.005075,379.519625,2.970510,8.099457,6.243435,23.235858,3.175376,4.076621,4.679877,5.472394,5.473740,8.142479
19B157.01.21,8-Jan,3,P,Y,Red,0.001349,0.003874,0.004760,410.666930,3.720592,7.524734,6.383180,23.602804,3.503822,4.692360,5.939869,4.728422,4.653929,7.166445
19B157.01.22,8-Jan,3,P,Y,Red,0.001310,0.003531,0.003981,219.455851,2.749432,7.767005,6.064729,16.642906,3.269426,4.391214,5.768094,4.528942,4.491768,5.576953
19B157.01.31,8-Jan,3,P,Y,Red,0.001491,0.004519,0.006296,721.297587,2.973269,10.283968,6.217941,30.220845,2.303799,3.066732,2.845535,4.418764,4.358840,8.979720
19B157.01.32,8-Jan,3,P,Y,Red,0.001275,0.003800,0.005573,664.291059,3.427475,7.363732,5.715455,31.581221,2.546371,2.974655,3.927306,4.260224,4.407226,8.213547
19B157.06.11,8-Jan,1,P,Y,Red,0.001651,0.004649,0.005531,1404.288988,3.517478,9.731530,6.339443,30.556748,3.041699,4.488979,3.311303,4.789595,5.231318,12.610470
19B157.06.12,8-Jan,1,P,Y,Red,0.001474,0.004416,0.005714,406.120489,3.818177,7.597324,5.343236,26.080907,3.459277,5.232029,4.922930,5.403280,5.748966,8.961795
19B157.06.21,8-Jan,1,P,Y,Red,0.001643,0.004453,0.004169,226.302782,4.095102,8.793385,4.888282,18.312526,3.436265,5.345863,4.315288,4.432500,4.764272,6.027179
19B157.06.22,8-Jan,1,P,Y,Red,0.001820,0.004686,0.004725,196.182694,2.687185,10.284410,5.389530,18.429861,1.798259,2.355374,4.114583,3.506381,3.830595,5.831026
19B157.06.31,8-Jan,1,P,Y,Red,0.001879,0.005495,0.006590,955.463863,2.843362,11.198315,6.689668,33.578034,2.780036,3.665761,2.744657,5.322024,5.208343,10.355143
19B157.06.32,8-Jan,1,P,Y,Red,0.001632,0.004557,0.005313,816.991331,4.300973,8.200224,5.545021,35.389567,2.889858,4.288757,3.515062,4.929237,5.166595,10.864098
19B157.06.11,8-Jan,2,P,Y,Red,0.001637,0.004575,0.005365,1383.619073,3.496235,8.278584,6.174161,31.957005,2.981404,4.308721,3.184309,4.759769,5.225885,11.847946
19B157.06.12,8-Jan,2,P,Y,Red,0.001423,0.004282,0.005480,419.227047,3.851460,7.841999,5.255845,28.304062,3.443454,5.415547,4.947801,5.523726,5.883590,9.128651
19B157.06.21,8-Jan,2,P,Y,Red,0.001546,0.004251,0.004180,271.969340,4.136947,8.324570,4.941493,17.108034,3.542685,5.469698,4.389803,4.372136,4.709122,5.941726
19B157.06.22,8-Jan,2,P,Y,Red,0.001782,0.004568,0.004545,200.290718,2.672952,9.534464,5.122075,18.118352,1.790071,2.365158,3.973678,3.620191,3.865266,5.853171
19B157.06.31,8-Jan,2,P,Y,Red,0.001819,0.005315,0.006435,653.518404,2.673879,9.398875,6.304008,32.337653,2.758463,3.458210,2.631858,5.136572,5.115820,10.035967
19B157.06.32,8-Jan,2,P,Y,Red,0.001543,0.004380,0.005349,795.913431,4.387682,6.854774,5.387244,31.970353,2.960693,4.303406,3.510942,4.870446,5.100027,10.322967
19B157.06.11,8-Jan,3,P,Y,Red,0.001609,0.004530,0.005451,1272.943363,3.536640,7.537216,6.220421,33.063743,2.988523,4.278225,3.216668,4.728697,5.156463,11.511291
19B157.06.12,8-Jan,3,P,Y,Red,0.001559,0.004556,0.005316,409.996279,3.775239,9.066501,5.226268,25.959668,3.342042,5.228883,4.719565,5.716795,6.003618,9.173197
19B157.06.21,8-Jan,3,P,Y,Red,0.001507,0.004158,0.004195,189.831589,4.058949,7.463978,4.978357,17.726210,3.516838,5.313293,4.406982,4.278029,4.593853,5.786034
19B157.06.22,8-Jan,3,P,Y,Red,0.001862,0.004656,0.004449,205.368241,2.599136,9.836366,5.130237,17.465553,1.783872,2.327790,3.969077,3.551380,3.838107,5.739010
19B157.06.31,8-Jan,3,P,Y,Red,0.001870,0.005410,0.006349,701.266681,2.694327,11.001717,6.278280,31.304572,2.731658,3.447336,2.623380,5.184319,5.137241,10.123829
19B157.06.32,8-Jan,3,P,Y,Red,0.001618,0.004481,0.005126,733.530873,4.233295,6.937580,5.370662,30.773168,2.851772,4.211383,3.387863,4.924180,5.208790,10.937583
19B157.01.22,5-Mar,1,P,Y,Red,0.001324,0.003582,0.004360,208.554886,2.772484,5.542402,6.142675,15.942414,3.324698,4.356563,6.003345,4.267375,4.237342,5.266020
19B157.01.31,5-Mar,1,P,Y,Red,0.001423,0.004219,0.006609,867.248091,2.882625,7.162090,6.033388,32.233745,2.292202,3.079458,2.863969,4.075900,4.137029,8.510313
19B157.01.32,5-Mar,1,P,Y,Red,0.001522,0.004332,0.005624,667.617993,3.340405,8.127693,5.500824,31.940056,2.475502,2.962936,3.825780,4.368031,4.476526,8.404165
19B157.06.22,5-Mar,1,P,Y,Red,0.001995,0.004995,0.004830,195.117622,2.653957,9.579508,5.270312,17.552218,1.777252,2.312051,4.067026,3.423742,3.766530,5.687712
19B157.06.31,5-Mar,1,P,Y,Red,0.002124,0.005995,0.006797,722.590495,2.738719,10.720872,6.252323,32.517042,2.747958,3.599135,2.725899,5.301751,5.172693,10.160618
19B157.06.32,5-Mar,1,P,Y,Red,0.001795,0.004949,0.005719,1000.299220,4.386906,7.516213,5.665965,33.774398,3.032410,4.558897,3.563943,4.929150,5.190157,10.832964
19B157.01.22,12-Mar,1,M,Y,Red,0.001379,0.003690,0.004286,217.593745,2.831643,6.236851,6.122417,18.157815,3.355958,4.404396,5.974138,4.394401,4.332889,5.402301
19B157.01.22,12-Mar,2,M,Y,Red,0.001399,0.003716,0.004222,218.261637,2.814366,5.674702,6.103864,16.321972,3.328338,4.428215,5.908569,4.420568,4.386504,5.453033
19B157.01.22,12-Mar,3,M,Y,Red,0.001393,0.003701,0.004227,221.912544,2.813155,6.304201,6.071735,18.246942,3.313383,4.416435,5.918363,4.404318,4.375624,5.450870
19B157.01.31,12-Mar,1,M,Y,Red,0.001585,0.004675,0.006508,795.269581,2.986235,8.762983,6.251290,31.092840,2.311796,3.147570,2.936375,4.399883,4.347676,9.085794
19B157.01.31,12-Mar,2,M,Y,Red,0.001586,0.004677,0.006504,698.116893,2.985147,8.626992,6.173082,29.938214,2.302257,3.147631,2.935484,4.390102,4.339930,9.070383
19B157.01.31,12-Mar,3,M,Y,Red,0.001575,0.004662,0.006583,683.492036,2.968722,8.074622,6.145769,29.538144,2.301765,3.114219,2.895429,4.337855,4.291199,8.879326
19B157.01.32,12-Mar,1,M,Y,Red,0.001390,0.004019,0.005766,499.047016,3.400458,6.754708,5.697455,32.085663,2.525655,2.980456,3.918638,4.180084,4.333176,8.063715
19B157.01.32,12-Mar,2,M,Y,Red,0.001414,0.004055,0.005619,752.387800,3.357713,6.358727,5.542923,31.014555,2.480929,3.000300,3.857609,4.279575,4.402879,8.875698
19B157.01.32,12-Mar,3,M,Y,Red,0.001384,0.004002,0.005767,604.367271,3.401761,7.069429,5.673968,30.820301,2.524991,2.987869,3.918455,4.171950,4.328799,8.191957
19B157.06.31,12-Mar,1,M,Y,Red,0.002017,0.005754,0.006903,718.660174,2.711486,10.068566,6.411068,29.989324,2.789778,3.526974,2.741848,5.102991,5.035190,9.866674
19B157.06.31,12-Mar,2,M,Y,Red,0.002040,0.005790,0.006771,755.879461,2.699335,9.997618,6.462700,30.490235,2.771731,3.532282,2.705402,5.178242,5.108601,10.095075
19B157.06.31,12-Mar,3,M,Y,Red,0.002224,0.006178,0.006634,608.313626,2.733765,12.356808,6.445503,31.567734,2.672862,3.553953,2.682988,5.430260,5.235345,10.141288
19B157.06.22,12-Mar,1,M,Y,Red,0.001878,0.004798,0.004876,186.606121,2.680466,8.140694,5.269659,17.698753,1.788614,2.327539,4.117994,3.304104,3.720445,5.703370
19B157.06.22,12-Mar,2,M,Y,Red,0.001882,0.004795,0.004846,184.925947,2.659620,8.690098,5.277278,18.192524,1.783536,2.339692,4.083369,3.311153,3.719588,5.716098
19B157.06.22,12-Mar,3,M,Y,Red,0.001874,0.004802,0.004911,185.196424,2.695029,7.952063,5.262868,18.375821,1.784077,2.318768,4.146866,3.301472,3.717916,5.704994
19B157.06.32,12-Mar,1,M,Y,Red,0.001776,0.004769,0.005220,994.893692,4.060229,7.290817,5.234292,33.799791,2.800672,4.226284,3.393835,4.877223,5.170962,11.127825
19B157.06.32,12-Mar,2,M,Y,Red,0.001719,0.004705,0.005428,901.936411,4.218150,6.199582,5.398359,31.973115,2.885084,4.323049,3.486882,4.828596,5.069147,10.797060
19B157.06.32,12-Mar,3,M,Y,Red,0.001671,0.004640,0.005611,927.734470,4.338673,6.313156,5.484696,31.736378,2.948502,4.343586,3.544695,4.762232,4.980711,10.081015
19B157.01.22,16-Mar,1,M,Y,Red,0.001517,0.003884,0.004089,200.684088,2.790213,7.883717,5.979682,16.755762,3.274086,4.329186,5.920271,4.595701,4.528008,5.466342
19B157.01.22,16-Mar,2,M,Y,Red,0.001493,0.003844,0.004137,199.410577,2.805080,8.479982,6.028452,16.848687,3.273190,4.329703,5.928530,4.561904,4.500634,5.473732
19B157.01.22,16-Mar,3,M,Y,Red,0.001617,0.004028,0.003865,191.517813,2.808006,7.621280,5.877149,15.159910,3.211473,4.270416,5.704741,4.844737,4.654304,5.486540
19B157.01.31,16-Mar,1,M,Y,Red,0.001863,0.005244,0.006096,778.806671,2.911210,11.526551,6.112187,29.260757,2.277784,3.084804,2.867553,4.811322,4.638382,9.374656
19B157.01.31,16-Mar,2,M,Y,Red,0.001823,0.005178,0.006230,622.795719,2.895380,9.995185,6.068429,31.650813,2.274308,3.052309,2.857426,4.692170,4.550291,9.156218
19B157.01.31,16-Mar,3,M,Y,Red,0.001812,0.005143,0.006102,655.117114,2.909396,11.096454,6.001761,30.941178,2.276883,3.037934,2.822194,4.715816,4.551764,9.115629
19B157.01.32,16-Mar,1,M,Y,Red,0.001657,0.004556,0.005414,756.941181,3.288870,9.712216,5.631134,30.065876,2.465469,2.963905,3.816517,4.560743,4.662326,8.989254
19B157.01.32,16-Mar,2,M,Y,Red,0.001621,0.004492,0.005505,649.960021,3.298191,9.965803,5.547190,31.665018,2.492477,2.938894,3.848612,4.465531,4.588227,8.364326
19B157.01.32,16-Mar,3,M,Y,Red,0.001642,0.004503,0.005267,670.846279,3.278427,10.215149,5.343182,29.046478,2.466060,2.948197,3.778104,4.574390,4.666565,8.975147
19B157.06.31,16-Mar,1,M,Y,Red,0.002362,0.006315,0.006395,641.428859,2.616504,13.831394,6.467909,30.760764,2.656142,3.464137,2.624470,5.471814,5.338696,10.300504
19B157.06.31,16-Mar,2,M,Y,Red,0.002325,0.006253,0.006468,644.588136,2.604979,12.780944,6.344981,32.788924,2.687058,3.433511,2.627590,5.407177,5.285073,10.208968
19B157.06.31,16-Mar,3,M,Y,Red,0.002184,0.005981,0.006586,528.567533,2.599037,10.913225,6.153139,28.343732,2.767019,3.366345,2.632703,5.214301,5.139550,9.844140
19B157.06.22,16-Mar,1,M,Y,Red,0.002216,0.005223,0.004645,196.576279,2.591890,12.821110,5.191739,18.407447,1.756887,2.303304,3.997640,3.666130,3.878036,5.756326
19B157.06.22,16-Mar,2,M,Y,Red,0.002172,0.005201,0.004766,198.415069,2.631144,10.567676,5.416912,18.249696,1.754998,2.276089,4.086042,3.564527,3.834344,5.725288
19B157.06.22,16-Mar,3,M,Y,Red,0.002045,0.005031,0.004849,217.190922,2.649733,9.244473,5.180534,17.325873,1.756207,2.209343,4.162370,3.412861,3.728917,5.683291
19B157.06.32,16-Mar,1,M,Y,Red,0.001990,0.005123,0.005284,818.322682,4.093926,9.325565,5.353624,32.536627,2.833615,4.185712,3.408311,5.049771,5.311526,11.053357
19B157.06.32,16-Mar,2,M,Y,Red,0.001928,0.005053,0.005458,761.917952,4.170793,8.434788,5.468624,28.704399,2.863582,4.100656,3.420623,4.966035,5.208078,10.184988
19B157.06.32,16-Mar,3,M,Y,Red,0.001858,0.004896,0.005349,791.583646,4.169677,7.502044,5.238071,32.976376,2.860630,4.114490,3.427000,4.951042,5.199033,10.234889
