SampleID,Trial,Operator,Exposuretime,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.11,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002139702,0.005054328,0.004710003,621.6437763,3.786168993,,,,,,,,,,1.616305763,2.720166082,2.73900548,5.686690343,4.73982226,8.413004299
19B167.04.12,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001742255,0.004560146,0.004075442,244.8933581,2.602219127,,,,,,,,,,1.660133703,2.146852299,2.670582696,4.829898875,4.275018829,6.285713564
19B167.04.21,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002062709,0.004644031,0.003077505,228.8544745,3.595671736,,,,,,,,,,1.975534483,4.295305156,4.220627301,5.18760167,4.111635857,5.465971965
19B167.04.22,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001895608,0.003943287,0.002701829,148.4002204,2.64450158,,,,,,,,,,2.148335644,3.774853629,3.932006957,4.550840904,3.773854412,4.953196195
19B167.04.31,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002223311,0.005462124,0.004581011,300.5714637,2.679735313,,,,,,,,,,1.794079842,3.435290059,2.782248632,5.99438968,5.350643639,7.35719646
19B167.04.32,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001901759,0.004309794,0.003310103,232.9436069,2.860102941,,,,,,,,,,2.221998283,4.848998856,5.430459442,5.316129975,5.119458489,6.304693491
19B167.04.11,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002125428,0.005005268,0.004679357,546.4100509,3.767318326,,,,,,,,,,1.595754948,2.675902493,2.699434476,5.592088777,4.725654049,8.307068667
19B167.04.12,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001738201,0.004541797,0.004071224,226.6755455,2.579786657,,,,,,,,,,1.66092187,2.126566349,2.630901612,4.6910459,4.23380933,6.261665149
19B167.04.21,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002045338,0.004605706,0.003067528,210.9455775,3.565655354,,,,,,,,,,1.95425262,4.257539731,4.214325092,5.073863878,4.098273641,5.477596637
19B167.04.22,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001884378,0.003913763,0.002693661,158.010793,2.608689408,,,,,,,,,,2.128118099,3.732457559,3.917871186,4.4540803,3.774241369,4.946851073
19B167.04.31,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002204054,0.005424119,0.004566828,318.6854998,2.647915947,,,,,,,,,,1.802721057,3.406517649,2.756833613,5.920740316,5.280243156,7.303370217
19B167.04.32,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001886732,0.004273128,0.003300395,232.9979268,2.833621499,,,,,,,,,,2.209405969,4.842813687,5.447340052,5.230478285,5.093199356,6.269494293
19B251.13.11,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002825512,0.005622512,0.00262452,36.31369629,1.634325236,,,,,,,,,,9.224863626,9.606102182,1.521252449,6.395580103,12.35178724,27.54639201
19B251.13.12,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003043205,0.005771868,0.002244538,48.56521277,1.622634256,,,,,,,,,,9.885085449,9.628446718,1.50361516,7.87465345,14.51981764,27.39204801
19B251.13.21,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002133795,0.004013993,0.001572752,28.70012822,1.44216601,,,,,,,,,,10.51469292,9.387229809,1.630024712,5.120031629,10.66516505,21.85974235
19B251.13.22,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00232339,0.003720168,0.001257974,30.67444652,1.235900624,,,,,,,,,,10.38999776,10.97997622,1.725772833,5.233377588,11.4095951,27.97164692
19B251.13.31,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002741052,0.004979816,0.002528919,43.40967185,1.895677733,,,,,,,,,,9.847934491,9.622400272,1.501480743,7.428443579,13.0091924,32.22362348
19B251.13.32,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003110335,0.00542056,0.002197914,52.34428756,1.271456634,,,,,,,,,,11.32902211,10.44148014,1.533698832,8.509309067,15.32708575,33.27553561
19B251.13.11,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002872326,0.005665502,0.002637779,36.05452221,1.635223296,,,,,,,,,,9.38247292,9.814483496,1.503194005,6.447311374,12.31891533,27.54984239
19B251.13.12,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00310206,0.005812457,0.002241343,47.71809081,1.616050563,,,,,,,,,,10.14842785,9.914715892,1.539508246,7.882658442,14.49947392,27.34990518
19B251.13.21,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002162493,0.004039568,0.001580092,28.61503166,1.442139147,,,,,,,,,,10.64175045,9.552672171,1.597732501,5.134833098,10.67366457,21.83523365
19B251.13.22,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002346421,0.003724725,0.001261795,30.05547462,1.231088185,,,,,,,,,,10.57962722,11.20908963,1.763405696,5.167299677,11.39912511,27.81014584
19B251.13.31,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002765903,0.004994487,0.002531363,43.3424024,1.889297352,,,,,,,,,,10.04113422,9.806154403,1.541393611,7.486707144,12.99676553,32.26076585
19B251.13.32,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003139477,0.00543489,0.002201906,51.61953655,1.269051828,,,,,,,,,,11.52326054,10.59977806,1.53351428,8.548157624,15.25516963,33.0538036
19B167.04.11,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002139702,0.005054328,0.004710003,621.6437763,3.786168993,,,,,,,,,,1.665536733,2.837989958,2.841518923,5.93033706,4.906217436,9.019820587
19B167.04.12,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001742255,0.004560146,0.004075442,244.8933581,2.602219127,,,,,,,,,,1.697856164,2.219781379,2.788095199,5.005555292,4.414286523,6.64407111
19B167.04.21,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002062709,0.004644031,0.003077505,228.8544745,3.595671736,,,,,,,,,,2.018794494,4.626813075,4.421189331,5.425539173,4.25577701,5.731815147
19B167.04.22,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001895608,0.003943287,0.002701829,148.4002204,2.64450158,,,,,,,,,,2.211032066,4.008329721,4.105905144,4.725446603,3.879095922,5.159763235
19B167.04.31,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002223311,0.005462124,0.004581011,300.5714637,2.679735313,,,,,,,,,,1.864457567,3.653568608,2.856958732,6.326962336,5.605179181,7.894194739
19B167.04.32,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001901759,0.004309794,0.003310103,232.9436069,2.860102941,,,,,,,,,,2.271509172,5.239707807,5.786910249,5.5603728,5.333933965,6.65585493
19B167.04.11,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002125428,0.005005268,0.004679357,546.4100509,3.767318326,,,,,,,,,,1.623321214,2.780334853,2.791090177,5.825293592,4.886874344,8.888944228
19B167.04.12,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001738201,0.004541797,0.004071224,226.6755455,2.579786657,,,,,,,,,,1.708023653,2.204472765,2.748559069,4.851446767,4.374009422,6.621547487
19B167.04.21,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002045338,0.004605706,0.003067528,210.9455775,3.565655354,,,,,,,,,,2.023310347,4.592803534,4.432493459,5.29905697,4.241323035,5.73886693
19B167.04.22,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001884378,0.003913763,0.002693661,158.010793,2.608689408,,,,,,,,,,2.204156361,3.968889737,4.109339391,4.619450454,3.880504771,5.152430875
19B167.04.31,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.002204054,0.005424119,0.004566828,318.6854998,2.647915947,,,,,,,,,,1.871478083,3.620507687,2.829897961,6.238718086,5.52404146,7.825305801
19B167.04.32,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Red,0.001886732,0.004273128,0.003300395,232.9979268,2.833621499,,,,,,,,,,2.287271032,5.250137373,5.812593501,5.464836745,5.307046575,6.61951939
19B251.13.11,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002825512,0.005622512,0.00262452,36.31369629,1.634325236,,,,,,,,,,10.77908824,11.28497809,1.559478925,6.800907672,13.93600591,36.74444697
19B251.13.12,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.003043205,0.005771868,0.002244538,48.56521277,1.622634256,,,,,,,,,,11.69484029,11.28052216,1.531416079,8.507502102,16.79766191,35.93223901
19B251.13.21,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002133795,0.004013993,0.001572752,28.70012822,1.44216601,,,,,,,,,,12.60589019,10.97859829,1.721150275,5.390768065,11.89510122,27.21422972
19B251.13.22,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.00232339,0.003720168,0.001257974,30.67444652,1.235900624,,,,,,,,,,12.49212509,13.25928057,1.786509382,5.520638374,12.90241729,37.33213191
19B251.13.31,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002741052,0.004979816,0.002528919,43.40967185,1.895677733,,,,,,,,,,11.55130603,11.19261419,1.574272577,8.154764811,15.29914721,46.07446834
19B251.13.32,1,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.003110335,0.00542056,0.002197914,52.34428756,1.271456634,,,,,,,,,,13.84006499,12.43830548,1.557082588,9.377099495,18.25870267,47.46476808
19B251.13.11,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002872326,0.005665502,0.002637779,36.05452221,1.635223296,,,,,,,,,,10.95731369,11.52271187,1.558805599,6.852349813,13.8913028,36.6097634
19B251.13.12,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.00310206,0.005812457,0.002241343,47.71809081,1.616050563,,,,,,,,,,12.09393511,11.64987307,1.555413148,8.533435668,16.77730227,35.85882187
19B251.13.21,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002162493,0.004039568,0.001580092,28.61503166,1.442139147,,,,,,,,,,12.74900432,11.17439495,1.683093708,5.412910189,11.91112149,27.33223037
19B251.13.22,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002346421,0.003724725,0.001261795,30.05547462,1.231088185,,,,,,,,,,12.73820274,13.51893226,1.795622622,5.450639475,12.88346901,37.1211574
19B251.13.31,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.002765903,0.004994487,0.002531363,43.3424024,1.889297352,,,,,,,,,,11.73564189,11.38028013,1.568031978,8.221806065,15.22250316,45.91348446
19B251.13.32,2,Adrian,AE,"Indv. Darkfield, csv contrast without SLB calibration",IQT-HT1,Blue,0.003139477,0.00543489,0.002201906,51.61953655,1.269051828,,,,,,,,,,14.07122322,12.81757953,1.568106923,9.428468492,18.36760233,47.12065422
19B167.04.11,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002131501,0.005044656,0.00470281,765.2112939,3.784529876,,,,,,,,,,1.65127509,2.745801475,2.752794818,5.706504095,4.744044112,8.494462727
19B167.04.12,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001735317,0.004551065,0.004070808,238.7303341,2.603680106,,,,,,,,,,1.690345814,2.158579121,2.676843299,4.84546473,4.288177275,6.325918771
19B167.04.21,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.0021157,0.004672552,0.003048389,175.7856909,3.599506302,,,,,,,,,,2.030875038,4.357401222,4.21625169,5.192027232,4.113041521,5.50906569
19B167.04.22,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001941425,0.003963216,0.002667541,139.5346122,2.655080889,,,,,,,,,,2.213524033,3.817130132,3.944470957,4.617788915,3.788322225,4.976827387
19B167.04.31,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002264611,0.005497142,0.004528758,331.5796083,2.677340789,,,,,,,,,,1.874714584,3.497272634,2.769143688,6.077168452,5.351489393,7.406452916
19B167.04.32,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001942684,0.004322766,0.003272732,116.4018233,2.857882786,,,,,,,,,,2.294567576,4.902713426,5.448412097,5.365187755,5.126779509,6.318797917
19B167.04.11,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.00211501,0.004992811,0.004669986,645.8866843,3.765411572,,,,,,,,,,1.635940352,2.705825495,2.715764739,5.616959697,4.743811322,8.384490311
19B167.04.12,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001728913,0.004529406,0.004064635,257.296365,2.581719431,,,,,,,,,,1.710031608,2.144658887,2.640873122,4.714990488,4.251136742,6.307976014
19B167.04.21,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002096042,0.004632104,0.003037365,179.480257,3.571575258,,,,,,,,,,2.052163062,4.345210198,4.229398364,5.10805001,4.096880584,5.533645127
19B167.04.22,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001929721,0.003934331,0.002658805,135.3945855,2.619575353,,,,,,,,,,2.216984138,3.779732035,3.938214415,4.51729698,3.786056444,4.996526828
19B167.04.31,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002244235,0.005456719,0.004513597,295.3804106,2.646603061,,,,,,,,,,1.893496294,3.479239198,2.745513362,5.958065425,5.318396879,7.352921053
19B167.04.32,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001926096,0.004283673,0.003261492,115.6691799,2.83323402,,,,,,,,,,2.307881176,4.914752267,5.474579785,5.281716684,5.115908,6.329987325
19B251.13.11,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002824979,0.005621817,0.002623746,37.30044079,1.634628268,,,,,,,,,,9.240048583,9.625482864,1.538576836,6.40897639,12.38099977,27.69505188
19B251.13.12,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003042675,0.005770934,0.002243301,49.6484788,1.623031173,,,,,,,,,,9.907988749,9.660810565,1.534586017,7.901281143,14.53320633,27.58018951
19B251.13.21,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00213346,0.004013617,0.001571746,28.82867226,1.442515391,,,,,,,,,,10.54870697,9.422593003,1.682448194,5.132128833,10.68873848,22.00733889
19B251.13.22,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002322129,0.003718172,0.001256272,30.94172414,1.236165734,,,,,,,,,,10.42962676,11.04141303,1.796053973,5.255014042,11.4599514,28.47306797
19B251.13.31,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00274045,0.004978902,0.002527175,43.6548621,1.896502496,,,,,,,,,,9.884289855,9.666793635,1.539788678,7.454113042,13.05766071,32.52995559
19B251.13.32,1,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00310912,0.005418608,0.002196173,52.76361383,1.271647149,,,,,,,,,,11.34574253,10.47602317,1.554073839,8.535778443,15.4050432,33.63253664
19B251.13.11,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002870878,0.005662724,0.00263499,36.26941259,1.636000638,,,,,,,,,,9.418953814,9.861960753,1.546610968,6.478657868,12.3805905,27.8409401
19B251.13.12,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003100193,0.005809209,0.002238211,48.60048635,1.616934917,,,,,,,,,,10.19120216,9.978406147,1.58656,7.925645889,14.61570463,27.82080779
19B251.13.21,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002160552,0.00403667,0.001577335,26.71776125,1.442897963,,,,,,,,,,10.69898522,9.612122166,1.674623792,5.172836742,10.74098089,22.22918258
19B251.13.22,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002343815,0.003720067,0.001257853,30.61730844,1.231815701,,,,,,,,,,10.63046528,11.28875548,1.884240388,5.220721558,11.50068758,28.92359495
19B251.13.31,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002764242,0.004991655,0.002527615,44.19349837,1.890814762,,,,,,,,,,10.10156556,9.879348382,1.606106035,7.543124377,13.09043057,32.90012821
19B251.13.32,2,Adrian,AE,"Interpolated Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003136548,0.005430078,0.002198066,53.14822392,1.269442136,,,,,,,,,,11.57530537,10.70652351,1.604724039,8.600578781,15.40656302,33.78333861
19B251.13.11,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.004250041,0.006990582,0.003041539,42.74402887,1.660447285,4.496976012,6.817482508,18.34058858,,,,,,,9.42972,11.6488225,2.09617,6.999481961,12.77427001,24.71568537
19B251.13.11,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.00499736,0.006482681,0.002403418,32.84674488,1.663574507,4.642653739,8.047561982,21.88184772,,,,,,,10.473265,14.880295,2.6512175,7.187427142,12.27075546,23.41306155
19B251.13.12,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.004551028,0.007032888,0.002471449,56.96205829,1.508973492,4.539857336,6.624099605,19.89342861,,,,,,,11.4652275,13.2014525,2.220555,8.846804388,16.93574294,28.06001274
19B251.13.12,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.004535406,0.007099898,0.00251537,65.45624544,1.524214805,4.485938106,6.553075269,23.46975968,,,,,,,10.8516675,12.36572,2.2155225,8.937142474,16.90767838,27.65164826
19B251.13.12,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.004442609,0.006991921,0.002496825,60.05950428,1.517130115,4.476470991,6.464023076,22.33067161,,,,,,,10.759705,12.24412,2.14582,8.830912615,16.73165915,27.91015468
19B251.13.21,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.002965094,0.004897562,0.001757605,35.60653936,1.512874734,4.330206215,7.073340264,15.31412037,,,,,,,10.5112775,11.26966,2.2203525,5.973947689,11.34330028,20.69632519
19B251.13.21,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003183653,0.00508368,0.001756375,39.99668263,1.521416172,4.332316477,7.179144125,17.79792813,,,,,,,10.2902475,11.2201225,2.3503025,6.119323168,11.33703568,20.91111803
19B251.13.21,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003564075,0.004590894,0.001433556,24.99292111,1.485497663,4.259200208,8.327040398,17.86801104,,,,,,,10.6006525,13.6751775,3.0395,6.347410452,11.10558782,21.49373043
19B251.13.22,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.003086557,0.004158885,0.0014436,34.84522893,1.417792272,4.048651762,5.400940474,11.4558739,,,,,,,13.29991,16.1639175,2.8070775,5.836294667,11.24076664,25.22335599
19B251.13.22,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003070227,0.00423945,0.001469242,38.54160328,1.437511946,3.99514309,5.292447126,11.98934277,,,,,,,12.4085975,14.85816,2.71326,6.070706586,11.52376763,25.36830729
19B251.13.22,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003032884,0.004165853,0.001450581,34.72354645,1.423070036,3.980520025,5.240010476,11.70858518,,,,,,,12.3384625,14.7614425,2.654105,5.999727588,11.5477926,25.35811829
19B251.13.31,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.003799724,0.005980914,0.002817262,52.4539461,1.869076275,4.350799372,6.029056839,24.04406595,,,,,,,9.9741375,12.3538325,2.0216575,8.219856612,13.80644045,31.04777787
19B251.13.31,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003906031,0.006010761,0.002772329,58.7460025,1.859731317,4.31867771,6.07581993,25.00547783,,,,,,,9.93566,12.40237,2.07601,8.310192346,13.58365388,30.54497329
19B251.13.31,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003804128,0.005990654,0.002816304,57.11467087,1.858508177,4.308956698,5.967377712,23.01992227,,,,,,,9.7168675,11.9368075,2.004415,8.2376578,13.76649464,30.88210183
19B251.13.32,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.004277236,0.006356323,0.002459133,66.11774263,1.286421231,4.286397075,6.088729213,25.13028228,,,,,,,12.18304,12.3492525,2.22131,9.258856664,16.66815296,31.33915514
19B251.13.32,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.004247445,0.006359513,0.002453959,68.05002762,1.270594057,4.209392199,6.005734229,21.92383612,,,,,,,11.3955475,11.71597,2.1683375,9.308062686,16.77697638,30.93965647
19B251.13.32,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.004279645,0.006369763,0.002446071,66.03695997,1.282004599,4.225463871,5.995378459,22.17126321,,,,,,,11.5652575,11.76031,2.2272775,9.283979427,16.87638577,31.20670815
19B167.04.11,1,Zhida,AE,without SLB calibration,IQT4,Red,0.002053059,0.004923393,0.006213474,1040.936768,4.093123187,7.578015272,5.569172638,30.51829692,,,,,,,2.0111725,2.69161,2.6517775,4.330750799,4.438083686,8.23646684
19B167.04.11,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001855126,0.004545292,0.006423571,858.2948189,4.140838123,6.633887526,5.414953031,29.56070833,,,,,,,2.0222675,2.681425,2.626235,4.118248482,4.311692572,8.025355622
19B167.04.11,3,Zhida,AE,without SLB calibration,IQT4,Red,0.002052617,0.004945635,0.006306374,789.3211041,4.131679645,7.780252062,5.560227406,29.65904505,,,,,,,2.022165,2.7359725,2.710885,4.343484218,4.426756417,8.293556846
19B167.04.12,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001790854,0.004771726,0.005421886,327.5413714,2.758033655,10.18008389,5.812275572,22.0487469,,,,,,,1.8173925,2.141795,2.6360475,3.952649681,4.055280377,6.307826301
19B167.04.12,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001603655,0.00443191,0.005785745,401.9584086,2.810117085,9.383498432,5.673904203,23.89627053,,,,,,,1.85273,2.17036,2.66236,3.814077758,4.007604306,6.504852272
19B167.04.12,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001813082,0.004797972,0.005353742,340.3298444,2.736927391,9.977601947,5.702974989,24.06198849,,,,,,,1.8158625,2.11857,2.5951075,3.937545267,4.044478324,6.282182109
19B167.04.21,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001817309,0.004375726,0.004130444,151.0622646,3.849555066,8.898156273,4.504605196,12.37793714,,,,,,,2.866605,4.37461,4.6044325,3.935403012,3.916624518,5.341175795
19B167.04.21,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001854195,0.004442671,0.004115331,157.0508682,3.915052082,10.296404,4.53713865,12.29984772,,,,,,,2.903665,4.444515,4.57305,4.04847598,3.950167111,5.328397376
19B167.04.21,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001809279,0.004370645,0.004174403,152.9336534,3.910161064,8.074947005,4.528370367,12.48049765,,,,,,,2.895085,4.4136175,4.63378,3.964799787,3.919570119,5.305730568
19B167.04.22,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001694687,0.004006903,0.003700048,164.5671767,2.710823107,7.335441688,4.447206119,13.25702312,,,,,,,2.7813125,3.68919,4.0662625,3.597698674,3.731037589,4.914823894
19B167.04.22,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001696011,0.004034986,0.0037583,179.2843172,2.843760458,7.625592135,4.437931012,14.37976553,,,,,,,2.8089775,3.7767575,4.0943825,3.714880144,3.803400894,5.003979442
19B167.04.22,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001707767,0.004014316,0.003655317,164.5373273,2.671436585,7.932414938,4.426065851,13.93211029,,,,,,,2.7492375,3.6734175,4.04032,3.574946749,3.731210808,4.910969942
19B167.04.31,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001966156,0.005236004,0.006496029,326.5249898,2.823316655,9.084012024,5.741567257,24.05372043,,,,,,,2.2652525,3.3073275,2.74558,4.834036971,4.669915141,7.20766875
19B167.04.31,2,Zhida,AE,without SLB calibration,IQT4,Red,0.00222417,0.005725504,0.006149904,323.6681124,2.922856195,13.30265786,5.986732414,22.85805199,,,,,,,2.204365,3.37675,2.80364,5.358659652,5.055443726,7.542724074
19B167.04.31,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001957112,0.005222171,0.006579214,467.3383675,2.872958587,9.240559176,5.731751508,23.27032987,,,,,,,2.270135,3.3541525,2.8026225,4.898672478,4.687133044,7.257178495
19B167.04.32,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001656756,0.004254562,0.004485445,168.293393,2.977110986,6.528181831,5.553156782,13.80806863,,,,,,,3.149,4.7642375,5.8887625,4.685450877,4.737312914,5.994597141
19B167.04.32,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001876902,0.004654992,0.004450107,203.7511811,3.180746583,8.078329075,5.582721167,15.83323056,,,,,,,3.118715,4.7186075,5.5842225,5.067719304,4.997759004,6.143617779
19B167.04.32,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001649205,0.004249603,0.004536024,169.0283954,3.014445704,6.535418982,5.580083813,14.1046693,,,,,,,3.155595,4.7797075,5.92358,4.71170229,4.748695671,6.012878228
